Ranking IDHM 2010;Município;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Estado
1 º;São Caetano do Sul ;862;0891;0887;811;SP
2 º;Águas de São Pedro ;854;0849;0890;825;SP
3 º;Florianópolis ;847;0870;0873;800;SC
4 º;Balneário Camboriú ;845;0854;0894;789;SC
4 º;Vitória ;845;0876;0855;805;ES
6 º;Santos ;840;0861;0852;807;SP
7 º;Niterói ;837;0887;0854;773;RJ
8 º;Joaçaba ;827;0823;0891;771;SC
9 º;Brasília ;824;0863;0873;742;DF
10 º;Curitiba ;823;0850;0855;768;PR
11 º;Jundiaí ;822;0834;0866;768;SP
12 º;Valinhos ;819;0848;0850;763;SP
13 º;Vinhedo ;817;0840;0878;739;SP
14 º;Santo André ;815;0819;0861;769;SP
14 º;Araraquara ;815;0788;0877;782;SP
16 º;Santana de Parnaíba ;814;0876;0849;725;SP
17 º;Nova Lima ;813;0864;0885;704;MG
18 º;Ilha Solteira ;812;0786;0871;782;SP
19 º;Americana ;811;0800;0876;760;SP
20 º;Belo Horizonte ;810;0841;0856;737;MG
21 º;São José ;809;0799;0880;752;SC
21 º;Joinville ;809;0795;0889;749;SC
23 º;Maringá ;808;0806;0852;768;PR
24 º;São José dos Campos ;807;0804;0855;764;SP
25 º;Blumenau ;806;0812;0894;722;SC
25 º;Presidente Prudente ;806;0788;0858;774;SP
25 º;Rio Fortuna ;806;0848;0850;727;SC
28 º;São Paulo ;805;0843;0855;725;SP
28 º;Assis ;805;0771;0865;781;SP
28 º;Campinas ;805;0829;0860;731;SP
28 º;São Bernardo do Campo ;805;0807;0861;752;SP
28 º;Porto Alegre ;805;0867;0857;702;RS
28 º;São Carlos ;805;0788;0863;766;SP
34 º;Rio Claro ;803;0784;0862;766;SP
34 º;Jaraguá do Sul ;803;0793;0865;755;SC
36 º;Rio do Sul ;802;0793;0894;727;SC
37 º;Bauru ;801;0800;0854;752;SP
37 º;São Miguel do Oeste ;801;0787;0884;739;SC
37 º;Pirassununga ;801;0789;0884;736;SP
40 º;Concórdia ;800;0777;0872;756;SC
40 º;Vila Velha ;800;0807;0864;734;ES
40 º;Taubaté ;800;0778;0883;746;SP
40 º;Ribeirão Preto ;800;0820;0844;739;SP
40 º;Botucatu ;800;0790;0869;746;SP
45 º;Goiânia ;799;0824;0838;739;GO
45 º;Rio de Janeiro ;799;0840;0845;719;RJ
47 º;Marília ;798;0768;0854;776;SP
47 º;Sorocaba ;798;0792;0843;762;SP
47 º;Guaratinguetá ;798;0764;0886;751;SP
50 º;São João da Boa Vista ;797;0776;0871;749;SP
50 º;São José do Rio Preto ;797;0801;0846;748;SP
50 º;Fernandópolis ;797;0767;0872;758;SP
53 º;Itapema ;796;0788;0881;727;SC
53 º;Tubarão ;796;0788;0866;740;SC
53 º;Carlos Barbosa ;796;0835;0835;724;RS
56 º;Brusque ;795;0794;0894;707;SC
56 º;Iomerê ;795;0754;0891;749;SC
56 º;Paulínia ;795;0800;0864;727;SP
56 º;Treze Tílias ;795;0838;0874;685;SC
56 º;Itajaí ;795;0778;0884;730;SC
61 º;Holambra ;793;0815;0878;698;SP
62 º;Quatro Pontes ;791;0790;0838;748;PR
62 º;Três Arroios ;791;0843;0851;689;RS
62 º;Nova Odessa ;791;0755;0861;762;SP
62 º;Ipiranga do Sul ;791;0818;0866;698;RS
62 º;Saltinho ;791;0771;0857;750;SP
67 º;Votuporanga ;790;0772;0857;744;SP
67 º;Santa Cruz da Conceição ;790;0830;0876;679;SP
67 º;Adamantina ;790;0772;0852;750;SP
67 º;Chapecó ;790;0779;0871;727;SC
71 º;Cândido Rodrigues ;789;0747;0863;762;SP
71 º;Uberlândia ;789;0776;0885;716;MG
71 º;Barretos ;789;0762;0875;738;SP
71 º;Luzerna ;789;0781;0877;718;SC
71 º;Lagoa dos Três Cantos ;789;0765;0852;754;RS
76 º;Araçatuba ;788;0782;0841;744;SP
76 º;Cruzeiro ;788;0742;0871;758;SP
76 º;Mairiporã ;788;0767;0881;723;SP
76 º;Barra Bonita ;788;0762;0869;739;SP
76 º;Criciúma ;788;0786;0846;737;SC
76 º;Indaiatuba ;788;0791;0837;738;SP
76 º;Caçapava ;788;0754;0858;755;SP
76 º;Fernando de Noronha ;788;0781;0839;748;PE
76 º;Palmas ;788;0789;0827;749;TO
85 º;Itajubá ;787;0767;0884;718;MG
85 º;Espírito Santo do Pinhal ;787;0784;0872;712;SP
87 º;Garibaldi ;786;0825;0856;688;RS
87 º;Pompéia ;786;0750;0864;748;SP
87 º;Porto União ;786;0752;0891;724;SC
87 º;Lins ;786;0762;0869;733;SP
87 º;Barueri ;786;0791;0866;708;SP
92 º;Piracicaba ;785;0797;0848;717;SP
92 º;Amparo ;785;0780;0871;711;SP
92 º;Nova Araçá ;785;0796;0843;722;RS
92 º;Cuiabá ;785;0800;0834;726;MT
92 º;Catanduva ;785;0767;0853;740;SP
92 º;Casca ;785;0778;0847;733;RS
92 º;Tremembé ;785;0769;0873;720;SP
92 º;Monte Aprazível ;785;0781;0861;720;SP
100 º;Santa Fé do Sul ;784;0763;0840;751;SP
100 º;Ribeirão Pires ;784;0749;0847;760;SP
100 º;Ivoti ;784;0780;0848;729;RS
100 º;Jaguariúna ;784;0782;0862;715;SP
100 º;Santa Maria ;784;0795;0848;715;RS
100 º;Salto Veloso ;784;0778;0880;705;SC
100 º;Arujá ;784;0761;0866;730;SP
100 º;Timbó ;784;0807;0856;697;SC
100 º;Campo Grande ;784;0790;0844;724;MS
100 º;Mogi Mirim ;784;0767;0879;715;SP
110 º;Horizontina ;783;0782;0858;716;RS
110 º;Pinhalzinho ;783;0758;0886;716;SC
110 º;Mogi das Cruzes ;783;0762;0851;740;SP
113 º;Cascavel ;782;0776;0846;728;PR
113 º;Caxias do Sul ;782;0812;0860;686;RS
113 º;Pato Branco ;782;0778;0845;728;PR
113 º;Cerquilho ;782;0758;0854;739;SP
113 º;Lavras ;782;0757;0880;719;MG
113 º;São Bento do Sul ;782;0763;0871;719;SC
119 º;Caieiras ;781;0740;0861;749;SP
119 º;Ijuí ;781;0786;0858;707;RS
119 º;Santo Amaro da Imperatriz ;781;0753;0890;710;SC
119 º;Bombinhas ;781;0753;0864;732;SC
119 º;Maravilha ;781;0758;0886;708;SC
119 º;Águas da Prata ;781;0750;0886;716;SP
119 º;Lacerdópolis ;781;0763;0883;708;SC
119 º;Santa Bárbara D'Oeste ;781;0752;0867;731;SP
119 º;Araras ;781;0763;0859;728;SP
128 º;Bebedouro ;780;0756;0853;735;SP
128 º;Cocal do Sul ;780;0747;0859;740;SC
128 º;Pomerode ;780;0780;0886;687;SC
128 º;Franca ;780;0749;0842;753;SP
128 º;Vista Alegre do Prata ;780;0809;0847;692;RS
128 º;Nova Petrópolis ;780;0775;0890;688;RS
128 º;Boituva ;780;0757;0861;728;SP
128 º;Braço do Trombudo ;780;0766;0883;702;SC
128 º;Orlândia ;780;0765;0882;703;SP
128 º;Corupá ;780;0768;0873;707;SC
128 º;Cotia ;780;0789;0851;707;SP
128 º;Birigui ;780;0743;0869;734;SP
128 º;Salto ;780;0755;0837;751;SP
141 º;Poços de Caldas ;779;0768;0872;706;MG
141 º;Andradina ;779;0762;0885;702;SP
141 º;Piratininga ;779;0762;0859;723;SP
141 º;Seara ;779;0804;0872;674;SC
145 º;Bento Gonçalves ;778;0805;0842;695;RS
145 º;Varginha ;778;0760;0875;707;MG
145 º;Juiz de Fora ;778;0784;0844;711;MG
145 º;Ourinhos ;778;0753;0859;727;SP
145 º;Jaú ;778;0768;0886;693;SP
145 º;Londrina ;778;0789;0837;712;PR
145 º;Tietê ;778;0764;0884;698;SP
145 º;Jaboticabal ;778;0778;0851;710;SP
145 º;Itatiba ;778;0788;0844;708;SP
145 º;Lajeado ;778;0796;0840;704;RS
145 º;Braço do Norte ;778;0746;0881;716;SC
145 º;Nova Bréscia ;778;0836;0847;666;RS
157 º;Victor Graeff ;777;0774;0840;722;RS
157 º;José Bonifácio ;777;0752;0869;717;SP
157 º;Selbach ;777;0785;0841;710;RS
157 º;Indaial ;777;0767;0873;701;SC
157 º;Louveira ;777;0783;0861;697;SP
157 º;Mafra ;777;0738;0880;723;SC
157 º;Jacareí ;777;0749;0837;749;SP
157 º;Sarandi ;777;0776;0858;705;RS
157 º;Lagoa Santa ;777;0790;0857;693;MG
157 º;Pinheiro Preto ;777;0762;0866;712;SC
157 º;Farroupilha ;777;0783;0861;696;RS
168 º;Iracemápolis ;776;0742;0863;729;SP
168 º;Itaú de Minas ;776;0761;0862;711;MG
168 º;Bragança Paulista ;776;0772;0861;704;SP
168 º;Erechim ;776;0782;0833;716;RS
168 º;Passo Fundo ;776;0787;0849;699;RS
168 º;Jales ;776;0750;0855;730;SP
168 º;Osasco ;776;0776;0840;718;SP
168 º;Araçoiaba da Serra ;776;0751;0860;723;SP
168 º;Pirapozinho ;776;0740;0863;733;SP
168 º;Dracena ;776;0752;0842;737;SP
178 º;Xanxerê ;775;0760;0861;711;SC
178 º;Limeira ;775;0761;0852;719;SP
178 º;Ceres ;775;0753;0842;733;GO
178 º;Itapiranga ;775;0766;0842;723;SC
178 º;Viçosa ;775;0758;0883;696;MG
178 º;Santa Rita do Passa Quatro ;775;0764;0887;686;SP
178 º;Trombudo Central ;775;0760;0880;696;SC
185 º;Ouro ;774;0774;0884;677;SC
185 º;Treviso ;774;0737;0882;714;SC
185 º;Massaranduba ;774;0749;0867;714;SC
185 º;Mogi Guaçu ;774;0740;0852;736;SP
185 º;Siderópolis ;774;0751;0880;701;SC
185 º;Marau ;774;0773;0857;699;RS
185 º;Francisco Beltrão ;774;0758;0844;726;PR
185 º;Cruzália ;774;0698;0853;778;SP
185 º;Marechal Cândido Rondon ;774;0782;0842;704;PR
185 º;Pouso Alegre ;774;0755;0872;704;MG
185 º;São José do Rio Pardo ;774;0744;0868;717;SP
185 º;Pedrinhas Paulista ;774;0749;0837;739;SP
197 º;Paraí ;773;0787;0866;679;RS
197 º;Itu ;773;0782;0854;692;SP
197 º;Auriflama ;773;0746;0840;738;SP
197 º;Araguari ;773;0740;0871;716;MG
197 º;Serra Alta ;773;0758;0879;694;SC
197 º;Santana da Ponte Pensa ;773;0751;0840;733;SP
197 º;Rio das Ostras ;773;0784;0854;689;RJ
197 º;Pindamonhangaba ;773;0745;0843;736;SP
197 º;Olímpia ;773;0737;0867;724;SP
197 º;Veranópolis ;773;0797;0838;692;RS
197 º;Santa Cruz do Sul ;773;0782;0852;693;RS
197 º;Matão ;773;0766;0847;713;SP
197 º;Sebastianópolis do Sul ;773;0748;0835;740;SP
210 º;São Sebastião ;772;0747;0875;703;SP
210 º;Aratiba ;772;0801;0856;670;RS
210 º;Uberaba ;772;0772;0845;705;MG
210 º;Araxá ;772;0756;0858;709;MG
210 º;Santo Ângelo ;772;0765;0863;696;RS
210 º;Recife ;772;0798;0825;698;PE
210 º;Sales Oliveira ;772;0738;0845;739;SP
210 º;Monções ;772;0731;0814;773;SP
210 º;Urussanga ;772;0756;0876;695;SC
210 º;Santa Salete ;772;0712;0864;748;SP
220 º;Lajeado Grande ;771;0750;0858;712;SC
220 º;Maracaí ;771;0711;0850;758;SP
220 º;Volta Redonda ;771;0763;0833;720;RJ
220 º;Itá ;771;0747;0879;698;SC
220 º;Poá ;771;0710;0856;754;SP
220 º;Ipatinga ;771;0752;0864;705;MG
220 º;Tupã ;771;0764;0852;704;SP
227 º;Ouroeste ;770;0717;0866;736;SP
227 º;Lages ;770;0755;0867;697;SC
227 º;Montes Claros ;770;0707;0868;744;MG
227 º;Aracaju ;770;0784;0823;708;SE
227 º;Santa Rosa de Viterbo ;770;0746;0868;704;SP
227 º;Macatuba ;770;0763;0859;697;SP
227 º;Armazém ;770;0743;0882;698;SC
227 º;Oriente ;770;0717;0837;761;SP
227 º;Timóteo ;770;0737;0836;742;MG
227 º;Presidente Castello Branco ;770;0813;0883;637;SC
227 º;Vargem Grande Paulista ;770;0755;0884;683;SP
238 º;Tupi Paulista ;769;0762;0835;715;SP
238 º;Santa Rosa ;769;0752;0871;693;RS
238 º;Taboão da Serra ;769;0742;0863;710;SP
238 º;Cosmópolis ;769;0746;0876;697;SP
238 º;São Carlos ;769;0763;0867;688;SC
238 º;Campo Limpo Paulista ;769;0733;0840;739;SP
238 º;Schroeder ;769;0750;0855;710;SC
238 º;Garça ;769;0737;0849;728;SP
238 º;Arroio do Meio ;769;0750;0860;706;RS
238 º;Pedreira ;769;0750;0864;701;SP
238 º;Barbacena ;769;0751;0881;687;MG
249 º;Lucas do Rio Verde ;768;0766;0833;710;MT
249 º;Toledo ;768;0755;0855;702;PR
249 º;Nova Veneza ;768;0741;0869;703;SC
249 º;Nova Boa Vista ;768;0764;0836;708;RS
249 º;São Luís ;768;0741;0813;752;MA
249 º;Resende ;768;0762;0839;709;RJ
249 º;São Vicente ;768;0738;0857;716;SP
249 º;Palotina ;768;0760;0864;689;PR
249 º;Três Passos ;768;0745;0858;710;RS
249 º;São Roque ;768;0765;0863;687;SP
249 º;Igarapava ;768;0809;0835;671;SP
249 º;Bilac ;768;0743;0845;722;SP
249 º;Maracajá ;768;0752;0861;699;SC
249 º;Monte Alto ;768;0746;0859;707;SP
249 º;São Marcos ;768;0775;0855;683;RS
249 º;Regente Feijó ;768;0735;0818;752;SP
265 º;Serra Negra ;767;0764;0873;676;SP
265 º;Votorantim ;767;0720;0838;747;SP
265 º;Capivari de Baixo ;767;0724;0870;716;SC
265 º;Orindiúva ;767;0719;0824;762;SP
265 º;Estrela ;767;0776;0850;684;RS
265 º;Avaré ;767;0751;0866;695;SP
265 º;Dois Vizinhos ;767;0747;0850;711;PR
265 º;Encantado ;767;0764;0858;687;RS
265 º;Novo Xingu ;767;0749;0850;708;RS
274 º;Cedral ;766;0749;0872;689;SP
274 º;Poloni ;766;0736;0853;717;SP
274 º;Mauá ;766;0721;0852;733;SP
274 º;Nova Prata ;766;0782;0839;686;RS
274 º;Parnamirim ;766;0750;0825;726;RN
274 º;Santiago ;766;0746;0882;682;RS
274 º;Ivatuba ;766;0718;0837;748;PR
274 º;Peritiba ;766;0762;0882;669;SC
274 º;Pereira Barreto ;766;0728;0845;732;SP
274 º;Capivari do Sul ;766;0805;0836;668;RS
274 º;Alumínio ;766;0729;0841;732;SP
274 º;Carazinho ;766;0756;0840;707;RS
274 º;São Simão ;766;0732;0852;722;SP
274 º;Lorena ;766;0736;0856;713;SP
274 º;Catalão ;766;0769;0819;715;GO
289 º;Ituverava ;765;0768;0841;694;SP
289 º;Guaporé ;765;0781;0837;685;RS
289 º;Atibaia ;765;0786;0851;670;SP
289 º;Ibirubá ;765;0786;0848;671;RS
289 º;Imbituba ;765;0734;0868;703;SC
289 º;Suzano ;765;0708;0873;723;SP
289 º;Gaspar ;765;0770;0889;655;SC
289 º;São Domingos ;765;0769;0861;675;SC
289 º;Espumoso ;765;0747;0884;677;RS
289 º;Não-Me-Toque ;765;0,784td>;0847;673;RS
289 º;Colinas ;765;0786;0840;678;RS
289 º;Patos de Minas ;765;0749;0855;698;MG
289 º;Nova Erechim ;765;0767;0851;686;SC
289 º;Maricá ;765;0761;0850;692;RJ
289 º;Nova Europa ;765;0718;0869;718;SP
304 º;Santo Antônio do Palma ;764;0787;0853;665;RS
304 º;Arroio Trinta ;764;0781;0873;653;SC
304 º;Gramado ;764;0783;0861;662;RS
304 º;Rondinha ;764;0780;0842;678;RS
304 º;Lençóis Paulista ;764;0743;0837;717;SP
304 º;Ouro Branco ;764;0753;0872;680;MG
304 º;Cerro Largo ;764;0752;0849;698;RS
304 º;São Valentim do Sul ;764;0776;0848;677;RS
304 º;Videira ;764;0772;0857;675;SC
304 º;Cachoeira Paulista ;764;0733;0837;728;SP
304 º;Imbé ;764;0825;0847;638;RS
304 º;Montauri ;764;0790;0852;662;RS
304 º;Rosana ;764;0749;0818;728;SP
304 º;Macaé ;764;0792;0828;681;RJ
304 º;Divinópolis ;764;0753;0844;702;MG
304 º;Paraíso do Tocantins ;764;0759;0831;706;TO
320 º;São Domingos do Sul ;763;0780;0839;680;RS
320 º;Medianeira ;763;0762;0849;686;PR
320 º;Presidente Venceslau ;763;0749;0837;708;SP
320 º;São Pedro do Butiá ;763;0760;0843;694;RS
320 º;Guararapes ;763;0727;0840;726;SP
320 º;Natal ;763;0768;0835;694;RN
320 º;João Pessoa ;763;0770;0832;693;PB
320 º;Paranavaí ;763;0750;0844;703;PR
320 º;Itapetininga ;763;0728;0864;705;SP
320 º;Gabriel Monteiro ;763;0721;0809;762;SP
320 º;Ponta Grossa ;763;0755;0837;703;PR
320 º;Barra Funda ;763;0731;0856;710;RS
320 º;Fagundes Varela ;763;0773;0852;674;RS
320 º;Buritama ;763;0736;0839;720;SP
320 º;Guarulhos ;763;0746;0831;717;SP
335 º;Paraguaçu Paulista ;762;0717;0836;739;SP
335 º;Sumaré ;762;0744;0845;705;SP
335 º;David Canabarro ;762;0740;0870;688;RS
335 º;Saldanha Marinho ;762;0745;0841;706;RS
335 º;Itupeva ;762;0750;0844;699;SP
335 º;Serranópolis do Iguaçu ;762;0778;0859;662;PR
335 º;Boa Vista do Buricá ;762;0761;0834;697;RS
335 º;Mirassol ;762;0748;0846;698;SP
335 º;Osvaldo Cruz ;762;0740;0837;713;SP
335 º;Itapira ;762;0750;0852;692;SP
335 º;Torres ;762;0750;0862;685;RS
335 º;São Joaquim da Barra ;762;0740;0847;706;SP
335 º;Mococa ;762;0756;0827;709;SP
335 º;Santa Cruz do Rio Pardo ;762;0744;0867;686;SP
335 º;São Francisco do Sul ;762;0740;0856;699;SC
350 º;Nova Pádua ;761;0762;0852;678;RS
350 º;Indiana ;761;0714;0843;733;SP
350 º;Alfenas ;761;0737;0841;712;MG
350 º;Panambi ;761;0752;0848;691;RS
350 º;Itapoá ;761;0739;0874;682;SC
350 º;Entre Rios do Oeste ;761;0778;0826;686;PR
350 º;Umuarama ;761;0755;0836;698;PR
350 º;Vila Maria ;761;0791;0839;664;RS
350 º;Santa Rita D'Oeste ;761;0711;0839;740;SP
350 º;São João do Oeste ;761;0756;0873;668;SC
350 º;Taió ;761;0749;0879;670;SC
350 º;Batatais ;761;0766;0840;685;SP
350 º;Conselheiro Lafaiete ;761;0736;0860;697;MG
350 º;Iguaba Grande ;761;0744;0841;704;RJ
350 º;Zortéa ;761;0752;0885;661;SC
350 º;Sertãozinho ;761;0768;0855;672;SP
366 º;Itaara ;760;0761;0841;687;RS
366 º;Sete Lagoas ;760;0742;0840;705;MG
366 º;Goiandira ;760;0711;0849;727;GO
366 º;Campinas do Sul ;760;0753;0842;691;RS
366 º;Araranguá ;760;0745;0853;691;SC
366 º;Santa Adélia ;760;0750;0835;702;SP
366 º;Tapejara ;760;0763;0837;688;RS
366 º;Serafina Corrêa ;760;0755;0843;690;RS
366 º;Tijucas ;760;0747;0873;672;SC
366 º;Jandira ;760;0738;0841;706;SP
366 º;Rio Negro ;760;0721;0863;705;PR
366 º;Taiúva ;760;0732;0835;718;SP
366 º;Modelo ;760;0751;0886;659;SC
366 º;Descalvado ;760;0740;0865;687;SP
366 º;Frederico Westphalen ;760;0754;0846;688;RS
366 º;Porto Belo ;760;0750;0886;660;SC
366 º;Estrela D'Oeste ;760;0712;0873;705;SP
383 º;Várzea Paulista ;759;0720;0863;705;SP
383 º;Penápolis ;759;0748;0859;680;SP
383 º;Iporã do Oeste ;759;0743;0847;695;SC
383 º;Monte Alegre do Sul ;759;0752;0858;678;SP
383 º;Santo Antônio do Planalto ;759;0701;0885;705;RS
383 º;Nova Candelária ;759;0794;0856;643;RS
383 º;Salvador ;759;0772;0835;679;BA
383 º;Cornélio Procópio ;759;0746;0848;692;PR
383 º;São Lourenço ;759;0746;0871;673;MG
383 º;Presidente Getúlio ;759;0764;0874;654;SC
383 º;Taquaral ;759;0742;0823;716;SP
383 º;Caraguatatuba ;759;0735;0845;705;SP
383 º;Rio das Pedras ;759;0741;0842;700;SP
383 º;Três de Maio ;759;0756;0834;694;RS
383 º;Inúbia Paulista ;759;0688;0849;750;SP
383 º;Gurupi ;759;0736;0843;706;TO
383 º;Rubinéia ;759;0713;0844;726;SP
400 º;Herval D'Oeste ;758;0740;0859;684;SC
400 º;Picada Café ;758;0738;0842;701;RS
400 º;São José dos Pinhais ;758;0749;0859;678;PR
400 º;Guabiju ;758;0831;0857;612;RS
400 º;Álvares Machado ;758;0712;0834;732;SP
400 º;Cordeirópolis ;758;0754;0858;674;SP
400 º;Fernando Prestes ;758;0746;0859;680;SP
400 º;Iguaraçu ;758;0714;0833;732;PR
400 º;Nova Mutum ;758;0773;0837;673;MT
400 º;João Monlevade ;758;0724;0849;708;MG
400 º;Nova Londrina ;758;0735;0856;691;PR
400 º;São João Del Rei ;758;0733;0860;690;MG
400 º;Piraju ;758;0740;0843;699;SP
400 º;Itaúna ;758;0749;0850;685;MG
400 º;Maripá ;758;0736;0866;684;PR
400 º;Porto Feliz ;758;0737;0836;706;SP
400 º;Colorado ;758;0775;0835;674;RS
400 º;Antônio Prado ;758;0777;0835;671;RS
400 º;Faxinal dos Guedes ;758;0746;0863;676;SC
400 º;Piratuba ;758;0736;0829;714;SC
420 º;Gravatal ;757;0726;0877;681;SC
420 º;Santa Rosa de Lima ;757;0726;0843;710;SC
420 º;Presidente Bernardes ;757;0718;0839;719;SP
420 º;Santo Antônio do Aracanguá ;757;0710;0840;728;SP
420 º;Canoinhas ;757;0717;0874;692;SC
420 º;Diadema ;757;0717;0844;716;SP
420 º;Vanini ;757;0736;0836;704;RS
420 º;Águas de Santa Bárbara ;757;0744;0840;695;SP
420 º;Dois Lajeados ;757;0775;0837;670;RS
420 º;Vista Gaúcha ;757;0774;0839;669;RS
420 º;Campo Mourão ;757;0749;0841;689;PR
420 º;Jataí ;757;0774;0856;656;GO
420 º;Piquete ;757;0711;0823;740;SP
420 º;Presidente Lucena ;757;0727;0885;674;RS
420 º;Colina ;757;0720;0845;712;SP
420 º;Cachoeirinha ;757;0749;0857;675;RS
420 º;Estância Velha ;757;0749;0887;652;RS
420 º;Chapada ;757;0752;0849;679;RS
420 º;Palhoça ;757;0752;0859;672;SC
420 º;Pedro Leopoldo ;757;0723;0856;700;MG
440 º;Ilhabela ;756;0739;0843;693;SP
440 º;Balneário Piçarras ;756;0745;0869;668;SC
440 º;Nova Castilho ;756;0694;0823;755;SP
440 º;Jambeiro ;756;0727;0860;690;SP
440 º;Quinze de Novembro ;756;0783;0841;655;RS
440 º;Itabira ;756;0729;0873;678;MG
440 º;Cravinhos ;756;0737;0857;683;SP
440 º;Hortolândia ;756;0716;0859;703;SP
440 º;Bálsamo ;756;0746;0835;695;SP
440 º;Pirangi ;756;0735;0837;701;SP
440 º;Contagem ;756;0745;0832;697;MG
440 º;Fortaleza dos Valos ;756;0779;0837;663;RS
440 º;Passos ;756;0741;0886;658;MG
453 º;Coronel Fabriciano ;755;0715;0865;696;MG
453 º;São Pedro ;755;0741;0863;674;SP
453 º;São Ludgero ;755;0756;0834;683;SC
453 º;Saudades ;755;0723;0850;700;SC
453 º;Brodowski ;755;0738;0864;675;SP
453 º;Aparecida ;755;0735;0828;706;SP
453 º;Alto Bela Vista ;755;0734;0882;664;SC
453 º;Rondonópolis ;755;0749;0823;698;MT
453 º;Formiga ;755;0729;0874;676;MG
453 º;Cianorte ;755;0747;0841;685;PR
453 º;Montenegro ;755;0761;0866;654;RS
453 º;Pongaí ;755;0727;0844;701;SP
453 º;Orleans ;755;0749;0873;657;SC
453 º;São José do Ouro ;755;0759;0846;669;RS
467 º;Fortaleza ;754;0749;0824;695;CE
467 º;Sinop ;754;0755;0832;682;MT
467 º;Guabiruba ;754;0750;0876;653;SC
467 º;Boracéia ;754;0723;0866;685;SP
467 º;São Vendelino ;754;0743;0852;677;RS
467 º;Rio do Oeste ;754;0769;0892;625;SC
467 º;Esteio ;754;0769;0843;662;RS
467 º;Mongaguá ;754;0719;0854;699;SP
467 º;Analândia ;754;0745;0861;668;SP
467 º;Neves Paulista ;754;0737;0823;707;SP
467 º;Vera Cruz ;754;0722;0830;715;SP
467 º;Praia Grande ;754;0744;0834;692;SP
467 º;Cunhataí ;754;0777;0886;623;SC
467 º;Rodeio ;754;0769;0889;626;SC
467 º;Corumbataí ;754;0728;0841;700;SP
467 º;Lauro de Freitas ;754;0781;0827;663;BA
467 º;Chapadão do Sul ;754;0758;0850;665;MS
467 º;Constantina ;754;0726;0885;668;RS
467 º;Rio Verde ;754;0765;0853;656;GO
467 º;Registro ;754;0718;0851;702;SP
467 º;Flores da Cunha ;754;0786;0849;642;RS
488 º;Rancho Queimado ;753;0743;0893;644;SC
488 º;Ipeúna ;753;0737;0845;685;SP
488 º;Palmeira D'Oeste ;753;0720;0829;714;SP
488 º;Salvador das Missões ;753;0710;0851;706;RS
488 º;Monte Azul Paulista ;753;0733;0843;690;SP
488 º;Congonhas ;753;0732;0877;665;MG
488 º;Tarumã ;753;0738;0852;680;SP
488 º;Santo Anastácio ;753;0725;0854;689;SP
488 º;Magda ;753;0724;0823;717;SP
488 º;Três Fronteiras ;753;0710;0829;726;SP
488 º;Nilópolis ;753;0731;0817;716;RJ
488 º;Mangaratiba ;753;0746;0845;676;RJ
488 º;Novo Horizonte ;753;0741;0865;665;SP
488 º;Estação ;753;0752;0843;674;RS
488 º;Guaíra ;753;0759;0824;683;SP
488 º;Ajuricaba ;753;0763;0850;658;RS
488 º;Garopaba ;753;0737;0868;668;SC
488 º;Forquilhinha ;753;0754;0861;657;SC
488 º;João Neiva ;753;0751;0857;663;ES
488 º;Nicolau Vergueiro ;753;0772;0839;660;RS
508 º;Aracruz ;752;0717;0838;707;ES
508 º;Enéas Marques ;752;0767;0835;664;PR
508 º;Laguna ;752;0715;0871;682;SC
508 º;Marapoama ;752;0736;0852;679;SP
508 º;Araguaína ;752;0727;0821;712;TO
508 º;Monte Belo do Sul ;752;0752;0852;663;RS
508 º;Tatuí ;752;0734;0842;688;SP
508 º;Três Marias ;752;0706;0866;695;MG
508 º;Tunápolis ;752;0728;0830;704;SC
508 º;Severiano de Almeida ;752;0738;0861;670;RS
508 º;Itumbiara ;752;0744;0838;682;GO
508 º;Primavera do Leste ;752;0774;0843;653;MT
508 º;Westfalia ;752;0796;0849;630;RS
508 º;Pranchita ;752;0743;0821;696;PR
508 º;Xaxim ;752;0737;0871;662;SC
508 º;Boa Vista ;752;0737;0816;708;RR
508 º;Lucélia ;752;0728;0841;695;SP
508 º;Capinzal ;752;0742;0869;659;SC
526 º;Mandaguari ;751;0732;0840;689;PR
526 º;Guaxupé ;751;0729;0880;659;MG
526 º;Nhandeara ;751;0755;0835;672;SP
526 º;Cataguases ;751;0718;0861;685;MG
526 º;Pinhais ;751;0761;0836;666;PR
526 º;Foz do Iguaçu ;751;0748;0858;661;PR
526 º;Cambuí ;751;0722;0872;674;MG
526 º;Teresina ;751;0731;0820;707;PI
526 º;Indiaporã ;751;0714;0835;710;SP
526 º;Guarujá ;751;0729;0854;679;SP
526 º;Porto Ferreira ;751;0736;0827;696;SP
526 º;Rancharia ;751;0720;0861;683;SP
526 º;Guaraciaba ;751;0754;0871;646;SC
526 º;Guaramirim ;751;0748;0885;641;SC
526 º;Sales ;751;0708;0859;697;SP
526 º;Osório ;751;0769;0853;646;RS
526 º;Ubatuba ;751;0741;0841;679;SP
526 º;Turiúba ;751;0713;0824;721;SP
526 º;Américo Brasiliense ;751;0709;0852;701;SP
526 º;Sertão ;751;0746;0837;678;RS
526 º;Bastos ;751;0696;0848;718;SP
526 º;Planalto Alegre ;751;0731;0881;659;SC
526 º;Tapiratiba ;751;0703;0870;692;SP
526 º;Catiguá ;751;0734;0852;676;SP
526 º;Mirandópolis ;751;0732;0869;665;SP
