date;state;city;place_type;confirmed;deaths;is_last;estimated_population;city_ibge_code;confirmed_per_100k_inhabitants;death_rate;death_per_100k_inhabitants;Ranking IDHM 2010;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
2022-03-24;MT;São José dos Quatro Marcos;city;4401;113;True;18846,0;5107107,0;23352,43553;0,0257;599,5967314018891;1331 º;719;0707;0816;643
2022-03-24;MT;São José do Xingu;city;1329;20;True;5620,0;5107354,0;23647,68683;0,015;355,8718861209964;2964 º;657;0703;0828;487
2022-03-24;MT;São Pedro da Cipa;city;1060;27;True;4771,0;5107404,0;22217,56445;0,0255;565,9190945294488;2898 º;660;0654;0790;556
2022-03-24;MT;Sapezal;city;7333;66;True;26688,0;5107875,0;27476,76859;0,009;247,30215827338128;965 º;732;0758;0836;620
2022-03-24;MT;Serra Nova Dourada;city;524;7;True;1678,0;5107883,0;31227,65197;0,0134;417,16328963051257;2802 º;664;0638;0819;560
2022-03-24;MT;Sinop;city;33608;489;True;146005,0;5107909,0;23018,38978;0,0146;334,92003698503476;467 º;754;0755;0832;682
2022-03-24;MT;Sorriso;city;22031;241;True;92769,0;5107925,0;23748,23486;0,0109;259,78505750843493;667 º;744;0774;0839;635
2022-03-24;MT;Tabaporã;city;1648;26;True;9429,0;5107941,0;17477,99342;0,0158;275,7450418920352;2059 º;695;0679;0826;598
2022-03-24;MT;Tangará da Serra;city;23090;387;True;105711,0;5107958,0;21842,57078;0,0168;366,09245963050205;1052 º;729;0749;0825;626
2022-03-24;MT;Tapurah;city;3812;35;True;14046,0;5108006,0;27139,39912;0,0092;249,18126156913;1486 º;714;0738;0831;594
2022-03-24;MT;Terra Nova do Norte;city;2290;44;True;9473,0;5108055,0;24173,96812;0,0192;464,47799007706107;1969 º;698;0692;0815;602
2022-03-24;MT;Tesouro;city;646;16;True;3824,0;5108105,0;16893,30544;0,0248;418,41004184100416;3008 º;655;0635;0791;560
